"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Other Devices and Systems","Cisco HyperFlex 3.5&#x28;2a&#x29; Systems HX Series","Cisco Systems, Inc.","NL","EAL2","","11/25/2019","11/25/2024","http://216.117.4.138:80/files/epfiles/Certification Report NSCIB-CC-215885-CR.pdf","http://216.117.4.138:80/files/epfiles/[ST] HyperFlex-3.5_SecurityTarget_v1.0.pdf","","","",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_TAT.1,AVA_VAN.5,ALC_FLR.2","BSI-PP-0097","11/13/2019","11/13/2024","http://216.117.4.138:80/files/epfiles/1044V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044V2b_pdf.pdf","","","",""
"Other Devices and Systems","Bundesdruckerei Document Application with tamper-evident casing, Document Applicatio Vesion 2.2.1&#x3b; &#x28;Firmware Vers. 1.1.12, HW Vers. 0&#x29;","Bundesdruckerei GmbH","DE","EAL3","DMT-PP","10/31/2019","10/31/2024","http://216.117.4.138:80/files/epfiles/1125a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1125b_pdf.pdf","12/06/2019","Bundesdruckerei Document Application with tamper-evident casing, Document Applicatio Vesion 2.2.1&#x3b; &#x28;Firmware Vers. 1.1.12, HW Vers. 0&#x29;","http://216.117.4.138:80/files/epfiles/1125ma1a_pdf.pdf",""
"Other Devices and Systems","Bundesdruckerei Document Application with tamper-evident casing, Document Applicatio Vesion 2.2.1&#x3b; &#x28;Firmware Vers. 1.1.12, HW Vers. 0&#x29;","Bundesdruckerei GmbH","DE","EAL3","DMT-PP","10/31/2019","10/31/2024","http://216.117.4.138:80/files/epfiles/1125a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1125b_pdf.pdf","","","",""
"Other Devices and Systems","Motion Sensor for Digital &#x28;smart&#x29; Tachographs Lesikar TACH3 HW version 02, SW version 03 r43","Lesikar, as.","ES","EAL4,ATE_DPT.2,AVA_VAN.5","MS_PP","10/25/2019","10/25/2024","http://216.117.4.138:80/files/epfiles/2018-09-INF-2874.pdf","http://216.117.4.138:80/files/epfiles/2018-09-ST-lite.pdf","","","",""
"Other Devices and Systems","Medical Access Port_1BK_1.0.0, Bauform Einboxkonnektor 1.5, Version 1.53 Build 43","T-Systems International GMBH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","NK-PP","10/18/2019","10/18/2024","http://216.117.4.138:80/files/epfiles/0928V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0928V2b_pdf.pdf","","","",""
"Other Devices and Systems","Smart TV Security Solution V4.0 for Samsung Knox","Samsung Electronics Co., Ltd.","KR","EAL1","","10/10/2019","10/10/2024","http://216.117.4.138:80/files/epfiles/[KECS-CR-19-56] Smart TV Security Solution V4.0 for Samsung Knox Certification Report.pdf","http://216.117.4.138:80/files/epfiles/[ENG] Smart TV Security Solution_V4.0_for_Samsung_Knox_Security_Target_Lite_V1.0.pdf","","","",""
"Other Devices and Systems","Dell EMC&trade; Avamar&reg; v18.1","Dell EMC","CA","EAL2+,ALC_FLR.2","","10/09/2019","10/09/2024","http://216.117.4.138:80/files/epfiles/383-4-473 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/383-4-473 ST v1.8.pdf","","","",""
"Other Devices and Systems","Digital Tachograph EFAS-4.10 V05.00","intellic GmbH","DE","EAL4+,ATE_DPT.2,AVA_VAN.5","VU_PP","09/25/2019","09/25/2024","http://216.117.4.138:80/files/epfiles/1117a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1117b_pdf.pdf","","","",""
"Other Devices and Systems","RSA Archer Suite v6.5","RSA Security LLC","MY","EAL2+,ALC_FLR.2","","09/03/2019","","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C107-CR-v1.pdf","http://216.117.4.138:80/files/epfiles/RSA Archer 6.5_ST_V0.3.pdf","","","",""
"Other Devices and Systems","AhnLab EPP, EDR 1.0 and V3 Endpoint Security 9.0","AhnLab, Inc.","CA","EAL2+,ALC_FLR.1","","08/27/2019","09/27/2024","http://216.117.4.138:80/files/epfiles/383-4-474 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/384-4-474 AhnLab EPP Security Target_1.2.pdf","","","",""
"Other Devices and Systems","Cyxtera Technologies AppGate SDP v4.3","Cyxtera Technologies Inc","AU","EAL2,ALC_FLR.1","","08/26/2019","08/25/2024","http://216.117.4.138:80/files/epfiles/ACSC Certifcation Report EFT-T003.pdf","http://216.117.4.138:80/files/epfiles/Cyxtera AppGate SDP ST v1.0.pdf","","","",""
"Other Devices and Systems","PR&#x2f;SM for IBM z14 and IBM LinuxONE Systems Driver Level D36C with Bundle Level S08a","IBM Corporation","DE","EAL5+,ALC_FLR.3,ALC_TAT.3,ATE_FUN.2,AVA_VAN.5","","08/19/2019","08/19/2024","http://216.117.4.138:80/files/epfiles/1109a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1109b_pdf.pdf","","","",""
"Other Devices and Systems","IBM Enterprise PKCS&#x23;11 &#x28;EP11&#x29; Firmware identifier &#x27;2b638e8e&#x27; &#x28;4768&#x29;","IBM Corporation","DE","EAL4","","08/02/2019","08/02/2024","http://216.117.4.138:80/files/epfiles/1094a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1094b_pdf.pdf","","","",""
"Other Devices and Systems","XPCore v1.0","MicroEngine Technology Sdn Bhd","MY","EAL2","","07/21/2019","","http://216.117.4.138:80/files/epfiles/ISCB-3-RPT-C098-CR-v1.pdf","http://216.117.4.138:80/files/epfiles/XPCore Security Target v1.0.pdf","","","",""
"Other Devices and Systems","Dell EMC VxRail Appliance 4.5","Dell EMC","IT","EAL2+,ALC_FLR.2","","07/16/2019","","http://216.117.4.138:80/files/epfiles/cr_dell_vxrail_45_v1.0_en.pdf","http://216.117.4.138:80/files/epfiles/st_dell_vxrail_45_v0.6.pdf","","","",""
"Other Devices and Systems","Operator Terminal Adapter &#x28;OTA&#x29;","Thales Norway AS","NO","EAL5+,ALC_FLR.3","","07/15/2019","07/15/2024","http://216.117.4.138:80/files/epfiles/SERTIT-101 CR_v1.0.pdf","http://216.117.4.138:80/files/epfiles/3AQ 24863 AAAA 377 EN Security Target for OTA ed. 6.2.9.pdf","","","",""
"Other Devices and Systems","Cloudian Solution","Cloudian, Inc.","NO","EAL2+,ALC_FLR.1","","06/25/2019","06/25/2024","http://216.117.4.138:80/files/epfiles/20190625_SERTIT-117_CR_Cloudian_v_1-0.pdf","http://216.117.4.138:80/files/epfiles/Security Target - Cloudian HyperStore Object Storage SW v1.3.pdf","","","",""
"Other Devices and Systems","Symantec Data Center Security&#x3a; Server Advanced 6.7","Symantec Corporation","AU","EAL2+,ALC_FLR.1","","06/21/2019","06/20/2024","http://216.117.4.138:80/files/epfiles/ACSC Certifcation Report EFS-T048_v1.0.pdf","http://216.117.4.138:80/files/epfiles/Symantec Data Center Securityv6.7 ST_v1.0.pdf","","","",""
"Other Devices and Systems","Bundesdruckerei Document Application with tamper-evident casing, TOE Version&#x3a; 2.1.1, Firmware Vesion&#x3a; 1.0.44","Bundesdruckerei GmbH","DE","EAL3","DMT-PP","05/22/2019","05/22/2024","http://216.117.4.138:80/files/epfiles/1093a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1093b_pdf.pdf","","","",""
"Other Devices and Systems","Citrix XenServer &reg; 7.1 LTSR Enterprise Edition &#x28;CU2&#x29;","Citrix Systems, Inc.","CA","EAL2+,ALC_FLR.2","","05/16/2019","05/16/2024","http://216.117.4.138:80/files/epfiles/383-4-467 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/383-4-467 ST v1.3.pdf","","","",""
"Other Devices and Systems","Qualcomm Secure Processor Unit SPU230 in SDM855 SoC","Qualcomm Technologies Inc.","DE","EAL4+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","05/08/2019","05/07/2024","http://216.117.4.138:80/files/epfiles/1045a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1045b_pdf.pdf","","","",""
"Other Devices and Systems","Kaspersky Endpoint Security for Windows &#x28;version 11.0.0. 6499 AES256&#x29;","Kaspersky Lab UK Ltd.","ES","EAL2+,ALC_FLR.1","","05/01/2019","05/01/2024","http://216.117.4.138:80/files/epfiles/2018-37-INF-2718.pdf","http://216.117.4.138:80/files/epfiles/2018-37-ST_lite.pdf","","","",""
"Other Devices and Systems","Embedded Firmware Security Solution of Connectivity Features v1.0 for Ar&ccedil;elik Bluetooth IoT Devices","Arcelik A.S.","TR","EAL2","","04/30/2019","04/29/2022","http://216.117.4.138:80/files/epfiles/Arçelik Cert. Report.pdf","http://216.117.4.138:80/files/epfiles/Arcelik_Bluetooth_IoT_Devices_ASE_ST-v0.9.pdf","","","",""
"Other Devices and Systems","ZombieZERO Inspector V4.0","NPCore, Inc","KR","EAL2","","04/23/2019","04/23/2024","http://216.117.4.138:80/files/epfiles/[KECS-CR-19-20] ZombieZERO Inspector V4.0 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/ZombieZERO Inspector V4.0 Security Target Lite V1.10.pdf","","","",""
"Other Devices and Systems","Sensor 2185 &#x28;KITAS 4.0&#x29; Release 1.0, configuration options 2185.20 and 2185.32","Continental Automotive GmbH","DE","EAL4+,ATE_DPT.2,AVA_VAN.5","MS_PP","04/03/2019","04/03/2024","http://216.117.4.138:80/files/epfiles/1111a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1111b_pdf.pdf","","","",""
"Other Devices and Systems","Machine Readable Travel Document with &bdquo;ICAO Application&ldquo;, Basic Access Control based on National Operating System &#x28;NOS&#x29; NOS e-Passport &#x28;BAC&#x29; v.1.0-I","Universal Information Technologies LLC","DE","EAL4+,ALC_DVS.2","MRTD_ICAO_BA_V1.10","03/29/2019","05/29/2024","http://216.117.4.138:80/files/epfiles/0987a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0987b_pdf.pdf","","","",""
"Other Devices and Systems","Digital Tachograph - Vehicle Unit SE5000-8 Version B","Stoneridge Electronics AB","DE","EAL4+,ATE_DPT.2,AVA_VAN.5","VU_PP","03/20/2019","03/20/2024","http://216.117.4.138:80/files/epfiles/1071V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1071V2b_pdf.pdf","","","",""
"Other Devices and Systems","SolarWinds Orion Suite for Federal Government v3.0","Solarwinds Worldwide, LLC","ES","EAL2+,ALC_FLR.2","","03/16/2019","","http://216.117.4.138:80/files/epfiles/2018-11-INF-2694.pdf","http://216.117.4.138:80/files/epfiles/2018-11-ST.pdf","","","",""
"Other Devices and Systems","Mergen HBYS Security Module v1.18.1","Mergen Yaz&#x131;l&#x131;m A.&#x15e;.","TR","EAL2","HIS PP","03/13/2019","03/12/2022","http://216.117.4.138:80/files/epfiles/Mergen HBYS Certification Report.pdf","http://216.117.4.138:80/files/epfiles/M-CCE-ASE-ST-01-Mergen HBYS Security Module_v1.5.pdf","","","",""
"Other Devices and Systems","Belkin Secure KVM models F1DN102FLP-DP-3, F1DN202FLP-DP-3 v33303-C6C6","Belkin","CA","None","PP_PSS_V3.0","03/01/2019","03/01/2024","http://216.117.4.138:80/files/epfiles/383-4-462 CR v1.3e.pdf","http://216.117.4.138:80/files/epfiles/Belkin Secure KVM models F1DN102FLP_3 F1DN202FLP_3 v33303_C6C6 ST HDC16346 Rev C.pdf","","","",""
"Other Devices and Systems","Belkin Secure KVM models F1DN102KVM-UN-3, F1DN202KVM-UN-3, F1DN104KVM-UN-3, F1DN204KVM-UN-3 v33303-C6C6","Belkin","CA","None","PP_PSS_V3.0","03/01/2019","03/01/2024","http://216.117.4.138:80/files/epfiles/383-4-461 CR v1.2e.pdf","http://216.117.4.138:80/files/epfiles/Belkin Secure KVM models F1DN102KVM-UN-3, F1DN202KVM-UN-3, F1DN104KVM-UN-3, F1DN204KVM-UN-3 v33303-C6C6 ST HDC15957_Rev E.pdf","","","",""
"Other Devices and Systems","Vertiv Secure KVM Models SC820DP, SC920DP, SC920XP, SC840DP, SC940DP v33303-C6C6","Vertiv","CA","None","PP_PSS_V3.0","03/01/2019","03/01/2024","http://216.117.4.138:80/files/epfiles/383-4-458 CR v1.2e.pdf","http://216.117.4.138:80/files/epfiles/Vertiv Secure KVM Models SC820DP, SC920DP, SC920XP, SC840DP, SC940DP v33303-C6C6 Security Target HDC16329 Rev E.pdf","","","",""
"Other Devices and Systems","Vertiv Secure KVM Models SC845DP, SC945DP, SC945XP, SCM145DP, SCM185DP, SC885DP, SC985DP, SCM185 v33303-C6C6","Vertiv","CA","None","PP_PSS_V3.0","03/01/2019","03/01/2024","http://216.117.4.138:80/files/epfiles/383-4-457 CR v1.2e.pdf","http://216.117.4.138:80/files/epfiles/Vertiv Secure KVM Models SC845DP, SC945DP, SC945XP, SCM145DP, SCM185DP, SC885DP, SC985DP, SCM185 v33303-C6C6 ST Rev G.pdf","","","",""
"Other Devices and Systems","VMware Horizon 7 v7.3.3, Horizon Client for Windows v4.6.1 and UAG v3.1.1","VMware, Inc.","CA","EAL2+,ALC_FLR.2","","02/04/2019","02/04/2024","http://216.117.4.138:80/files/epfiles/383-4-441 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/383-4-441 VMware_Horizon 7_3_3_ST_v1.1.pdf","","","",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-PP-0097","01/25/2019","01/25/2024","http://216.117.4.138:80/files/epfiles/1044a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044b_pdf.pdf","06/06/2019","secunet konnektor 2.0.0","http://216.117.4.138:80/files/epfiles/1044ma1a_pdf.pdf",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-PP-0097","01/25/2019","01/25/2024","http://216.117.4.138:80/files/epfiles/1044a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044b_pdf.pdf","06/06/2019","secunet konnektor 2.0.0,Softwareversion Release 2.0.37","http://216.117.4.138:80/files/epfiles/1044ma1a_pdf.pdf",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-PP-0097","01/25/2019","01/25/2024","http://216.117.4.138:80/files/epfiles/1044a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044b_pdf.pdf","09/19/2019","secunet konnektor 2.0.0","http://216.117.4.138:80/files/epfiles/1044ma2a_pdf.pdf",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-PP-0097","01/25/2019","01/25/2024","http://216.117.4.138:80/files/epfiles/1044a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044b_pdf.pdf","09/19/2019","secunet konnektor 2.0.0, Softwarestand 2.0.38","http://216.117.4.138:80/files/epfiles/1044ma2a_pdf.pdf",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-PP-0097","01/25/2019","01/25/2024","http://216.117.4.138:80/files/epfiles/1044a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044b_pdf.pdf","06/10/2020","secunet konnektor 2.0.0, Version 2.0.46:2.0.0","http://216.117.4.138:80/files/epfiles/1044V2MA1a_pdf.pdf",""
"Other Devices and Systems","secunet konnektor 2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-PP-0097","01/25/2019","01/25/2024","http://216.117.4.138:80/files/epfiles/1044a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1044b_pdf.pdf","","","",""
"Other Devices and Systems","Digital Tachograph - Vehicle Unit SE5000-8 A","Stoneridge Electronics AB","DE","EAL4+,ATE_DPT.2,AVA_VAN.5","VU_PP","01/07/2019","01/07/2024","http://216.117.4.138:80/files/epfiles/1071a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1071b_pdf.pdf","","","",""
"Other Devices and Systems","SMGW-Integrationsmodul, Version 1.0","OpenLimit SignCubes AG","DE","EAL4,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","12/12/2018","12/11/2023","http://216.117.4.138:80/files/epfiles/0831a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0831b_pdf.pdf","04/18/2019","SMGW Integrationsmodul, Version 1.0 and 1.0.","http://216.117.4.138:80/files/epfiles/0831ma1a_pdf.pdf",""
"Other Devices and Systems","SMGW-Integrationsmodul, Version 1.0","OpenLimit SignCubes AG","DE","EAL4,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","12/12/2018","12/11/2023","http://216.117.4.138:80/files/epfiles/0831a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0831b_pdf.pdf","12/11/2020","Reassessment - SMGW-Integrationsmodul, Version 1.0, SMGW-Integrationsmodul, Version 1.0.1","http://216.117.4.138:80/files/epfiles/0831ra01a_pdf.pdf",""
"Other Devices and Systems","SMGW-Integrationsmodul, Version 1.0","OpenLimit SignCubes AG","DE","EAL4,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","12/12/2018","12/11/2023","http://216.117.4.138:80/files/epfiles/0831a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0831b_pdf.pdf","","","",""
"Other Devices and Systems","Sensor 2185 &#x28;KITAS 4.0&#x29; Release 1.0","Continental Automotive GmbH","DE","EAL4+,ATE_DPT.2,AVA_VAN.5","MS_PP","12/10/2018","12/10/2023","http://216.117.4.138:80/files/epfiles/1070a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1070b_pdf.pdf","","","",""
"Other Devices and Systems","Digital Tachograph DTCO 1381 Release 4.0","Continental Automotive GmbH","DE","EAL4+,ATE_DPT.2,AVA_VAN.5","VU_PP","12/06/2018","12/06/2023","http://216.117.4.138:80/files/epfiles/1069a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1069b_pdf.pdf","","","",""
"Other Devices and Systems","Machine Readable e-Document with &bdquo;ICAO Application&rdquo;, Extended Access Control with PACE based on National Operating System &#x28;NOS&#x29; NOS e-Passport &#x28;EAC with PACE&#x29; v.1.01-I","Universal Information Technologies LLC","DE","EAL4+,AVA_VAN.5,ALC_DVS.2,ATE_DPT.2","MRTD_ICAO_EAC_V1.3","11/27/2018","11/27/2023","http://216.117.4.138:80/files/epfiles/0985a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0985b_pdf.pdf","","","",""
"Other Devices and Systems","FusionAccess Software version V100R006C20","Huawei Technologies Co. Ltd.","ES","EAL3+,ALC_FLR.2","","11/22/2018","","http://216.117.4.138:80/files/epfiles/2017-03_INF-2526.pdf","http://216.117.4.138:80/files/epfiles/2017-03_ST.pdf","","","",""
"Other Devices and Systems","Savvy M2C Communications version 1.3","Savvy Data Systems S.L.","ES","EAL1","","11/22/2018","","http://216.117.4.138:80/files/epfiles/2018-06 INF-2529.pdf","http://216.117.4.138:80/files/epfiles/2018-06-ST.pdf","05/01/2019","Maintenance Savvy M2C Communications version 1.3","http://216.117.4.138:80/files/epfiles/2019-09 INF-2730.pdf","http://216.117.4.138:80/files/epfiles/2019-09-ST.pdf"
"Other Devices and Systems","Savvy M2C Communications version 1.3","Savvy Data Systems S.L.","ES","EAL1","","11/22/2018","","http://216.117.4.138:80/files/epfiles/2018-06 INF-2529.pdf","http://216.117.4.138:80/files/epfiles/2018-06-ST.pdf","","","",""
"Other Devices and Systems","Pivot3 Acuity 10.4","Quantum Corporation","CA","EAL2,ALC_FLR.2","","11/16/2018","11/16/2023","http://216.117.4.138:80/files/epfiles/383-4-454 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/383-4-454 Pivot3 Acuity v10.4 ST v0.6.pdf","11/06/2019","Pivot3 Acuity v10.6","http://216.117.4.138:80/files/epfiles/383-7-161 MR v1.0.pdf","http://216.117.4.138:80/files/epfiles/Pivot3 Acuity v10.6 ST v0.7.pdf"
"Other Devices and Systems","Pivot3 Acuity 10.4","Quantum Corporation","CA","EAL2,ALC_FLR.2","","11/16/2018","11/16/2023","http://216.117.4.138:80/files/epfiles/383-4-454 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/383-4-454 Pivot3 Acuity v10.4 ST v0.6.pdf","","","",""
"Other Devices and Systems","Smart TV Security Solution V3.0 for Samsung Knox","Samsung Electronics Co., Ltd.","KR","EAL1","","11/08/2018","11/08/2023","http://216.117.4.138:80/files/epfiles/[KECS-CR-18-54] Smart TV Security Solution V3.0 for Samsung Knox Certification Report.pdf","http://216.117.4.138:80/files/epfiles/[ENG] Smart TV Security Solution_V3.0_for_Samsung_Knox_Security_Target_Lite_V1.1.pdf","","","",""
"Other Devices and Systems","High Sec Labs Secure SK&#x2f;DK&#x2f;SX KVMs v33303-C6C6","High Security Labs Ltd.","CA","None","PP_PSS_V3.0","11/06/2018","08/20/2023","http://216.117.4.138:80/files/epfiles/383-4-456 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/383-4-456 ST Rev C.pdf","","","",""
"Other Devices and Systems","High Sec Labs Secure SK&#x2f;DK&#x2f;SX KVMs w&#x2f; fUSB v33303-C6C6","High Security Labs Ltd.","CA","None","PP_PSS_V3.0","10/16/2018","10/16/2023","http://216.117.4.138:80/files/epfiles/383-4-448 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/383-4-448 ST Rev G.pdf","","","",""
"Other Devices and Systems","Dell EMC&trade; VMAX&reg; All Flash and PowerMax&trade; with PowerMaxOS 5978","Dell EMC","CA","EAL2+,ALC_FLR.2","","10/15/2018","","http://216.117.4.138:80/files/epfiles/383-4-447 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/VMAX_EAL2_ST_1.4.pdf","03/15/2021","Dell EMC™ VMAX® All Flash and PowerMax™ with PowerMaxOS 5978.444.444, Solutions Enabler 9.1 and Unisphere for PowerMax 9.1 with security patches: DSA-2019-186, DSA-2019-193, DSA-2020-062, DSA-2020-065, DSA-2020-130, DSA-2020-221","http://216.117.4.138:80/files/epfiles/447-EWA MR v1.0.pdf","http://216.117.4.138:80/files/epfiles/447-EWA ST v1.6.pdf"
"Other Devices and Systems","Dell EMC&trade; VMAX&reg; All Flash and PowerMax&trade; with PowerMaxOS 5978","Dell EMC","CA","EAL2+,ALC_FLR.2","","10/15/2018","","http://216.117.4.138:80/files/epfiles/383-4-447 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/VMAX_EAL2_ST_1.4.pdf","","","",""
"Other Devices and Systems","Rubrik Cloud Data Management","Rubrik, Inc.","NO","EAL2+,ALC_FLR.1","","10/10/2018","10/10/2023","http://216.117.4.138:80/files/epfiles/20181010 Sertit-112 CR v1_0Rubrik.pdf","http://216.117.4.138:80/files/epfiles/ST_Rubrik_Cloud_Data_Management_v.1.2.pdf","","","",""
"Other Devices and Systems","Hikvision Network Camera Series","Hangzhou Hikvision Digital Technology Co.,Ltd.","NO","EAL2+,ALC_FLR.2","","09/18/2018","09/18/2023","http://216.117.4.138:80/files/epfiles/SERTIT-115 Hikvision CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/[ASE] HikVision Network Camera Series ST v3.0.pdf","","","",""
"Other Devices and Systems","NETCAD &ndash; Enterprise Products Platform v1.0","Netcad Yazilim A.S.","TR","EAL4+,ALC_FLR.2","","09/12/2018","","http://216.117.4.138:80/files/epfiles/NETCAD Enterprise Products v1.0 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/NETCAD-ASE-ST-v.2.3-lite.pdf","","","",""
"Other Devices and Systems","Medical Access Port_1BK_1.0.0, Bauform Einboxkonnektor 1.0","T-Systems International GMBH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","NK-PP","09/10/2018","09/10/2023","http://216.117.4.138:80/files/epfiles/0928a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0928b_pdf.pdf","11/14/2018","Medical Access Port_1BK_1.0.0, Bauform Einboxkonnektor 1.4.13","http://216.117.4.138:80/files/epfiles/0928ma2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0928ma2b_pdf.pdf"
"Other Devices and Systems","Medical Access Port_1BK_1.0.0, Bauform Einboxkonnektor 1.0","T-Systems International GMBH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","NK-PP","09/10/2018","09/10/2023","http://216.117.4.138:80/files/epfiles/0928a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0928b_pdf.pdf","11/14/2018","Medical Access Port_1BK_1.0.0, Bauform Einboxkonnektor 1.4.14","http://216.117.4.138:80/files/epfiles/0928ma1a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0928ma1b_pdf.pdf"
"Other Devices and Systems","Medical Access Port_1BK_1.0.0, Bauform Einboxkonnektor 1.0","T-Systems International GMBH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","NK-PP","09/10/2018","09/10/2023","http://216.117.4.138:80/files/epfiles/0928a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0928b_pdf.pdf","","","",""
"Other Devices and Systems","Skybox Security Suite Version&#x3a; 9.0.201","Skybox Security","AU","EAL2+,ALC_FLR.1","","08/30/2018","08/30/2023","http://216.117.4.138:80/files/epfiles/EFS-T053-Skybox_CR.pdf","http://216.117.4.138:80/files/epfiles/EFS-T053-Skybox_ST.pdf","","","",""
"Other Devices and Systems","DERMALOG Fingerprint PAD Kit ZF1&#x2f;F1 bestehend aus ZF1, Part-No. 9014-0005-02&#x3b; F1, Part-No. 9024-0002-01&#x3b; DermalogBPZF1Plugin, V 1.2.5.1817&#x3b; DermalogFakeFingerDetectionZF1Plugin, V 1.3.1.1817&#x3b; DermalogAuditLogger, V 1.0.1.1803","DERMALOG Identification Systems GmbH","DE","None,ADV_ARC.1,ADV_FSP.2,ADV_TDS.1,AGD_OPE.1,AGD_PRE.1,ALC_CMC.2,ALC_CMS.2,ALC_DEL.1,ALC_FLR.1,ASE_CCL.1,ASE_ECD.1,ASE_INT.1,ASE_OBJ.2,ASE_REQ.2,ASE_SPD.1,ASE_TSS.1,ATE_COV.1,ATE_FUN.1,ATE_IND.2","FSDPP_OSP_V1.7","08/20/2018","08/20/2023","http://216.117.4.138:80/files/epfiles/1043a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1043b_pdf.pdf","09/12/2019","DERMALOG Fingerprint PAD Kit ZF1&#x2f;F1Hardware&#x3a; ZF1, Part-No. 9014-0007-00&#x3b; F1, Part-No. 9024-0009-00 Software&#x3a; DermalogBPZF1Plugin, V 1.4.3.1837 DermalogFakeFingerDetectionZF1Plugin, V 1.3.1.1817 DermalogAuditLogger, V 1.1.3.1827","http://216.117.4.138:80/files/epfiles/1043ma1a_pdf.pdf",""
